Course Code,credits,semester,year,number_of_students,average_mark,std_dev,median,mode,pass_rate
ACCN10009,10,Semester 1,2020,101,72.45,9.48,73.21,70.9,0.88
ACCN10009,10,Semester 1,2021,106,75.53,9.18,73.41,72.37,0.9
ACCN10009,10,Semester 1,2022,98,75.31,8.54,74.03,70.97,0.81
ACCN10009,10,Semester 1,2023,109,73.11,9.4,73.49,72.4,0.85
ACCN10009,10,Semester 1,2024,106,72.71,9.49,73.08,70.77,0.85
ACCN10010,20,Semester 1,2020,118,80.57,9.34,79.64,80.75,0.73
ACCN10010,20,Semester 1,2021,124,78.17,8.5,80.19,81.58,0.66
ACCN10010,20,Semester 1,2022,119,80.43,9.47,79.38,81.72,0.69
ACCN10010,20,Semester 1,2023,121,77.57,8.45,80.16,80.98,0.7
ACCN10010,20,Semester 1,2024,120,78.4,8.41,80.14,80.0,0.69
ACCN10014,20,Semester 1,2020,118,67.96,5.65,66.09,66.5,0.82
ACCN10014,20,Semester 1,2021,109,68.92,5.81,67.44,67.75,0.82
ACCN10014,20,Semester 1,2022,111,70.14,6.32,66.15,67.05,0.85
ACCN10014,20,Semester 1,2023,118,67.92,6.1,67.34,67.68,0.78
ACCN10014,20,Semester 1,2024,109,70.5,6.29,67.31,67.99,0.76
ACCN10023,10,Semester 2,2020,82,72.51,7.42,74.76,71.32,0.91
ACCN10023,10,Semester 2,2021,86,73.24,7.05,73.79,70.68,0.99
ACCN10023,10,Semester 2,2022,80,74.32,8.69,74.47,71.31,0.96
ACCN10023,10,Semester 2,2023,86,72.23,6.83,75.03,71.88,1.0
ACCN10023,10,Semester 2,2024,84,71.54,8.54,74.77,72.18,0.91
ACCN10026,20,Full year,2020,113,63.78,8.73,66.7,65.7,0.9
ACCN10026,20,Full year,2021,120,67.17,7.66,65.82,65.38,0.9
ACCN10026,20,Full year,2022,112,66.66,7.5,66.28,65.31,0.93
ACCN10026,20,Full year,2023,111,65.7,7.58,65.72,65.51,0.87
ACCN10026,20,Full year,2024,113,66.51,7.67,65.41,64.65,0.88
ACCN10027,10,Full year,2020,136,69.36,9.4,71.49,69.64,0.95
ACCN10027,10,Full year,2021,133,72.48,8.21,70.65,69.03,0.91
ACCN10027,10,Full year,2022,124,69.33,9.55,71.28,70.62,0.92
ACCN10027,10,Full year,2023,129,70.55,8.46,71.36,70.01,0.9
ACCN10027,10,Full year,2024,127,69.96,9.55,71.21,69.58,0.94
ACCN10029,20,Semester 2,2020,94,66.0,8.88,62.66,64.19,0.98
ACCN10029,20,Semester 2,2021,95,65.45,9.75,64.2,63.03,0.93
ACCN10029,20,Semester 2,2022,88,63.32,8.74,62.66,63.18,0.96
ACCN10029,20,Semester 2,2023,90,66.71,8.94,62.52,64.37,0.9
ACCN10029,20,Semester 2,2024,90,66.99,10.12,63.13,63.3,0.93
ACCN10030,10,Semester 2,2020,88,60.81,6.27,61.4,63.36,0.97
ACCN10030,10,Semester 2,2021,83,60.22,7.81,60.82,63.46,0.92
ACCN10030,10,Semester 2,2022,85,61.4,6.56,61.92,63.52,0.98
ACCN10030,10,Semester 2,2023,88,60.21,6.92,61.05,63.46,0.98
ACCN10030,10,Semester 2,2024,87,62.79,6.62,61.86,62.51,0.94
AFRI08001,20,Full year,2020,107,61.41,8.01,60.76,63.5,0.84
AFRI08001,20,Full year,2021,113,62.15,8.3,61.04,63.0,0.88
AFRI08001,20,Full year,2022,114,62.01,7.4,59.12,62.5,0.89
AFRI08001,20,Full year,2023,115,59.69,7.23,60.06,63.59,0.85
AFRI08001,20,Full year,2024,111,61.42,6.91,60.2,62.52,0.93
AFRI10003,10,Semester 1,2020,77,71.49,7.0,68.97,70.61,0.77
AFRI10003,10,Semester 1,2021,74,72.51,5.84,70.49,69.75,0.82
AFRI10003,10,Semester 1,2022,74,72.02,5.37,69.77,68.88,0.77
AFRI10003,10,Semester 1,2023,77,71.94,6.85,69.89,70.5,0.84
AFRI10003,10,Semester 1,2024,75,72.78,6.12,70.01,68.72,0.79
AFRI10004,10,Full year,2020,76,76.17,6.57,76.61,76.43,0.87
AFRI10004,10,Full year,2021,74,74.68,6.62,76.23,75.87,0.89
AFRI10004,10,Full year,2022,72,77.11,7.11,75.87,76.74,0.88
AFRI10004,10,Full year,2023,76,77.25,6.74,76.37,77.25,0.87
AFRI10004,10,Full year,2024,77,74.11,5.99,76.09,76.62,0.92
AFRI10005,20,Full year,2020,80,71.82,7.94,71.19,72.54,0.71
AFRI10005,20,Full year,2021,77,72.67,8.93,70.79,74.23,0.68
AFRI10005,20,Full year,2022,76,71.96,8.01,70.74,73.94,0.64
AFRI10005,20,Full year,2023,76,71.3,8.02,70.32,73.15,0.7
AFRI10005,20,Full year,2024,81,72.0,8.54,71.06,73.55,0.7
AFRI11005,20,Semester 1,2020,65,80.82,8.8,81.14,79.22,0.66
AFRI11005,20,Semester 1,2021,68,77.82,7.61,80.84,77.91,0.66
AFRI11005,20,Semester 1,2022,69,81.32,7.77,81.16,79.23,0.63
AFRI11005,20,Semester 1,2023,69,77.56,7.63,81.57,78.9,0.64
AFRI11005,20,Semester 1,2024,66,78.12,7.77,80.32,78.85,0.58
AFRI11006,10,Semester 1,2020,100,73.95,7.79,73.07,75.37,0.75
AFRI11006,10,Semester 1,2021,100,72.49,9.4,74.13,75.97,0.72
AFRI11006,10,Semester 1,2022,95,74.74,8.2,74.34,75.63,0.77
AFRI11006,10,Semester 1,2023,95,73.71,9.08,74.55,76.62,0.74
AFRI11006,10,Semester 1,2024,92,74.02,8.06,74.11,75.61,0.68
AFRI11007,20,Semester 2,2020,149,65.97,5.79,68.67,66.54,0.57
AFRI11007,20,Semester 2,2021,144,67.96,6.02,67.55,67.29,0.58
AFRI11007,20,Semester 2,2022,141,68.77,6.53,67.61,66.96,0.62
AFRI11007,20,Semester 2,2023,144,65.96,5.36,67.12,66.36,0.63
AFRI11007,20,Semester 2,2024,147,67.08,5.76,68.93,67.12,0.58
AFRI11010,10,Full year,2020,137,65.17,7.12,65.16,63.28,0.72
AFRI11010,10,Full year,2021,137,66.57,8.19,65.87,64.02,0.74
AFRI11010,10,Full year,2022,126,64.78,7.59,66.33,63.15,0.73
AFRI11010,10,Full year,2023,128,64.67,7.34,65.7,63.4,0.76
AFRI11010,10,Full year,2024,133,64.88,8.65,66.72,62.49,0.76
ANHI08013,10,Full year,2020,105,69.3,5.44,68.91,69.28,0.8
ANHI08013,10,Full year,2021,104,68.45,5.26,67.58,70.31,0.86
ANHI08013,10,Full year,2022,111,67.96,6.37,68.12,68.76,0.79
ANHI08013,10,Full year,2023,107,69.12,5.86,68.42,69.39,0.86
ANHI08013,10,Full year,2024,106,70.04,5.63,67.96,68.89,0.79
ANHI08014,20,Semester 2,2020,131,80.96,7.58,79.19,80.02,0.86
ANHI08014,20,Semester 2,2021,129,77.42,8.33,78.8,79.49,0.82
ANHI08014,20,Semester 2,2022,132,80.31,7.65,78.19,80.19,0.85
ANHI08014,20,Semester 2,2023,133,79.27,9.02,80.13,79.54,0.87
ANHI08014,20,Semester 2,2024,122,78.75,7.88,79.07,79.42,0.85
ANHI08015,20,Semester 2,2020,125,74.97,9.57,76.37,77.71,0.93
ANHI08015,20,Semester 2,2021,123,76.64,9.87,74.59,77.07,0.95
ANHI08015,20,Semester 2,2022,131,74.86,8.74,75.66,76.42,0.96
ANHI08015,20,Semester 2,2023,124,76.49,8.64,75.26,76.24,0.91
ANHI08015,20,Semester 2,2024,132,74.3,9.65,75.02,76.87,0.93
ANHI10007,10,Semester 1,2020,134,71.75,6.08,71.3,72.99,0.63
ANHI10007,10,Semester 1,2021,133,73.16,5.92,72.14,73.89,0.62
ANHI10007,10,Semester 1,2022,144,71.19,6.28,72.67,73.54,0.57
ANHI10007,10,Semester 1,2023,138,73.88,5.01,70.96,73.23,0.58
ANHI10007,10,Semester 1,2024,136,70.59,5.85,72.69,74.06,0.59
ANHI10011,10,Full year,2020,96,75.31,8.35,76.15,75.72,0.62
ANHI10011,10,Full year,2021,94,74.01,8.74,74.35,75.9,0.63
ANHI10011,10,Full year,2022,96,73.54,9.95,74.82,75.34,0.72
ANHI10011,10,Full year,2023,94,72.16,9.03,75.49,75.21,0.72
ANHI10011,10,Full year,2024,102,76.0,10.2,74.91,75.22,0.69
ANHI10012,20,Semester 1,2020,130,61.14,8.44,61.18,62.63,0.92
ANHI10012,20,Semester 1,2021,131,60.57,7.27,61.86,63.55,0.92
ANHI10012,20,Semester 1,2022,134,63.53,7.48,60.93,63.15,0.93
ANHI10012,20,Semester 1,2023,139,63.35,7.81,61.04,64.08,0.9
ANHI10012,20,Semester 1,2024,139,63.28,8.28,61.19,62.8,0.9
ANHI10013,10,Semester 1,2020,141,65.81,5.92,64.45,65.34,1.0
ANHI10013,10,Semester 1,2021,142,66.41,6.42,63.98,65.88,1.0
ANHI10013,10,Semester 1,2022,141,65.92,5.74,65.33,66.47,1.0
ANHI10013,10,Semester 1,2023,135,66.39,5.77,64.41,66.58,0.96
ANHI10013,10,Semester 1,2024,138,65.87,6.33,65.39,65.63,1.0
ANHI10034,10,Semester 2,2020,70,63.67,5.88,60.94,62.46,0.71
ANHI10034,10,Semester 2,2021,69,60.13,4.75,60.58,63.99,0.71
ANHI10034,10,Semester 2,2022,72,61.65,4.5,62.06,63.76,0.74
ANHI10034,10,Semester 2,2023,71,59.9,4.51,60.35,63.76,0.72
ANHI10034,10,Semester 2,2024,70,63.45,5.17,60.43,62.6,0.75
ANHI10051,20,Semester 2,2020,122,72.83,6.97,70.89,72.27,0.7
ANHI10051,20,Semester 2,2021,134,69.93,5.99,70.62,72.27,0.73
ANHI10051,20,Semester 2,2022,127,71.96,7.57,71.66,72.58,0.68
ANHI10051,20,Semester 2,2023,126,70.43,7.54,70.85,71.1,0.7
ANHI10051,20,Semester 2,2024,126,71.63,6.58,70.13,70.86,0.73
ANHI10083,20,Semester 2,2020,109,82.87,6.18,82.59,81.42,1.0
ANHI10083,20,Semester 2,2021,110,82.92,5.72,82.13,82.16,1.0
ANHI10083,20,Semester 2,2022,107,80.77,5.07,83.34,81.45,0.98
ANHI10083,20,Semester 2,2023,104,82.7,5.8,82.09,81.85,1.0
ANHI10083,20,Semester 2,2024,114,79.81,5.0,83.49,82.35,1.0
ANHI10095,10,Semester 2,2020,154,62.59,5.91,59.18,62.87,0.89
ANHI10095,10,Semester 2,2021,143,61.95,5.31,59.82,62.68,0.93
ANHI10095,10,Semester 2,2022,143,61.06,6.23,59.14,62.73,0.92
ANHI10095,10,Semester 2,2023,154,60.54,6.53,58.46,62.34,0.92
ANHI10095,10,Semester 2,2024,141,62.53,6.27,59.69,60.99,0.88
ANHI10100,10,Full year,2020,103,68.39,6.81,67.41,68.97,0.78
ANHI10100,10,Full year,2021,104,68.85,5.16,68.55,68.64,0.72
ANHI10100,10,Full year,2022,105,70.09,6.07,67.35,69.62,0.76
ANHI10100,10,Full year,2023,101,68.49,6.19,67.73,69.02,0.69
ANHI10100,10,Full year,2024,111,66.56,6.83,67.09,69.08,0.77
ANHI10103,20,Full year,2020,116,66.87,6.98,63.13,67.3,0.9
ANHI10103,20,Full year,2021,111,63.48,6.24,63.9,67.12,0.89
ANHI10103,20,Full year,2022,120,64.88,6.56,63.08,67.02,0.87
ANHI10103,20,Full year,2023,119,66.79,5.52,63.25,66.38,0.9
ANHI10103,20,Full year,2024,116,63.16,5.91,62.64,66.14,0.83
ANHI10104,20,Semester 1,2020,129,81.36,6.24,78.54,77.5,0.93
ANHI10104,20,Semester 1,2021,127,79.45,5.4,78.34,77.83,0.91
ANHI10104,20,Semester 1,2022,132,81.19,4.57,77.13,78.57,0.96
ANHI10104,20,Semester 1,2023,129,78.35,5.08,77.15,79.05,0.92
ANHI10104,20,Semester 1,2024,138,80.24,5.93,77.45,78.8,0.98
ANHI10105,20,Full year,2020,99,84.09,9.2,85.48,83.37,1.0
ANHI10105,20,Full year,2021,104,84.79,8.89,84.62,81.92,0.92
ANHI10105,20,Full year,2022,101,83.13,8.66,85.43,81.8,1.0
ANHI10105,20,Full year,2023,101,85.24,9.0,84.94,82.19,0.92
ANHI10105,20,Full year,2024,104,83.22,8.95,85.38,83.51,0.96
ANHI10106,20,Semester 2,2020,115,83.5,4.76,81.55,80.0,0.56
ANHI10106,20,Semester 2,2021,125,84.16,5.76,82.63,81.71,0.62
ANHI10106,20,Semester 2,2022,114,83.75,4.45,82.39,81.84,0.62
ANHI10106,20,Semester 2,2023,120,84.29,5.73,82.55,80.63,0.59
ANHI10106,20,Semester 2,2024,119,82.13,5.93,82.06,81.61,0.61
ARCA08004,10,Full year,2020,86,74.53,8.9,77.04,76.19,0.93
ARCA08004,10,Full year,2021,86,73.13,10.26,75.29,77.23,0.94
ARCA08004,10,Full year,2022,85,76.75,10.52,75.91,75.71,0.9
ARCA08004,10,Full year,2023,81,74.63,9.77,76.08,77.21,0.94
ARCA08004,10,Full year,2024,80,76.98,8.87,76.5,77.52,0.92
ARCA08005,10,Full year,2020,73,81.91,9.27,79.7,80.84,1.0
ARCA08005,10,Full year,2021,73,78.95,10.02,80.66,80.87,0.95
ARCA08005,10,Full year,2022,69,81.02,10.2,80.38,82.3,0.95
ARCA08005,10,Full year,2023,69,79.11,10.28,80.69,81.07,1.0
ARCA08005,10,Full year,2024,71,79.52,9.28,79.97,80.89,0.95
ARCA08012,10,Semester 1,2020,53,69.98,7.87,68.09,70.08,0.73
ARCA08012,10,Semester 1,2021,56,68.66,8.5,69.26,69.0,0.72
ARCA08012,10,Semester 1,2022,52,68.62,8.44,68.61,68.75,0.8
ARCA08012,10,Semester 1,2023,53,69.33,7.6,69.54,69.76,0.72
ARCA08012,10,Semester 1,2024,56,68.59,8.38,69.45,70.1,0.71
ARCA08013,20,Full year,2020,124,78.86,8.89,77.31,78.05,0.77
ARCA08013,20,Full year,2021,120,77.53,7.62,76.19,78.46,0.78
ARCA08013,20,Full year,2022,122,76.07,7.68,77.49,78.18,0.77
ARCA08013,20,Full year,2023,122,78.2,7.38,77.41,78.84,0.84
ARCA08013,20,Full year,2024,114,78.19,7.47,77.14,79.98,0.77
ARCA08014,10,Semester 1,2020,80,81.47,9.7,78.94,76.95,0.79
ARCA08014,10,Semester 1,2021,84,81.65,8.48,80.34,77.78,0.81
ARCA08014,10,Semester 1,2022,86,80.89,7.97,79.7,78.83,0.82
ARCA08014,10,Semester 1,2023,80,81.27,8.52,80.62,77.73,0.84
ARCA08014,10,Semester 1,2024,86,79.13,9.24,79.65,78.85,0.78
ARCA08015,10,Semester 1,2020,71,62.79,7.67,66.07,67.2,0.88
ARCA08015,10,Semester 1,2021,70,65.34,7.8,65.98,66.09,0.93
ARCA08015,10,Semester 1,2022,69,65.35,7.15,65.36,65.6,0.88
ARCA08015,10,Semester 1,2023,72,65.0,6.47,65.39,66.39,0.93
ARCA08015,10,Semester 1,2024,70,62.71,6.57,65.65,65.88,0.87
ARCA10003,10,Full year,2020,116,80.07,8.53,79.03,77.93,0.94
ARCA10003,10,Full year,2021,116,78.3,10.23,79.31,78.32,0.88
ARCA10003,10,Full year,2022,120,77.09,9.02,78.83,78.39,0.96
ARCA10003,10,Full year,2023,118,77.51,9.38,79.61,78.39,0.96
ARCA10003,10,Full year,2024,118,78.35,8.59,79.36,79.61,0.96
ARCA10013,10,Full year,2020,59,61.59,5.26,60.84,58.93,0.85
ARCA10013,10,Full year,2021,61,62.26,6.97,60.97,59.66,0.9
ARCA10013,10,Full year,2022,60,59.35,5.9,59.9,59.96,0.9
ARCA10013,10,Full year,2023,60,59.95,5.85,61.83,58.98,0.92
ARCA10013,10,Full year,2024,56,62.54,5.78,60.84,58.29,0.87
ARCA10014,20,Full year,2020,87,74.28,9.72,74.87,75.44,0.91
ARCA10014,20,Full year,2021,91,75.22,8.58,75.36,75.76,0.96
ARCA10014,20,Full year,2022,89,75.8,8.76,75.0,75.42,0.9
ARCA10014,20,Full year,2023,90,76.87,9.94,73.95,76.26,0.91
ARCA10014,20,Full year,2024,83,75.44,8.83,73.48,74.89,0.88
ARCA10020,20,Semester 1,2020,70,73.18,6.3,70.27,72.38,0.85
ARCA10020,20,Semester 1,2021,72,73.33,6.62,70.03,72.38,0.81
ARCA10020,20,Semester 1,2022,72,69.7,7.71,71.26,73.64,0.8
ARCA10020,20,Semester 1,2023,69,72.94,7.38,70.23,73.5,0.81
ARCA10020,20,Semester 1,2024,66,71.36,7.45,69.66,72.6,0.77
ARCA10023,20,Semester 2,2020,72,75.98,8.65,76.83,76.55,0.81
ARCA10023,20,Semester 2,2021,72,75.35,7.94,76.77,75.2,0.75
ARCA10023,20,Semester 2,2022,76,74.37,9.08,77.27,76.92,0.78
ARCA10023,20,Semester 2,2023,73,75.09,8.26,77.65,76.77,0.79
ARCA10023,20,Semester 2,2024,78,77.3,7.83,77.55,76.91,0.74
ARCA10034,20,Full year,2020,57,79.79,8.35,81.37,80.22,0.95
ARCA10034,20,Full year,2021,55,78.78,8.73,81.91,81.06,0.97
ARCA10034,20,Full year,2022,57,80.54,7.94,82.53,81.67,0.97
ARCA10034,20,Full year,2023,55,78.61,8.98,80.79,81.1,0.91
ARCA10034,20,Full year,2024,55,81.87,8.39,81.58,81.72,0.89
ARCA10035,10,Full year,2020,102,66.61,5.55,68.75,69.59,0.81
ARCA10035,10,Full year,2021,110,67.58,5.68,67.64,69.17,0.8
ARCA10035,10,Full year,2022,110,68.14,5.51,68.26,69.33,0.8
ARCA10035,10,Full year,2023,106,68.39,6.61,68.14,69.93,0.84
ARCA10035,10,Full year,2024,108,67.92,5.75,68.9,70.42,0.83
ARCA10040,20,Semester 1,2020,83,74.89,7.76,73.81,73.2,0.83
ARCA10040,20,Semester 1,2021,81,74.18,8.58,74.23,73.26,0.87
ARCA10040,20,Semester 1,2022,78,73.25,7.48,73.53,73.22,0.9
ARCA10040,20,Semester 1,2023,76,74.31,8.39,73.76,72.56,0.82
ARCA10040,20,Semester 1,2024,77,73.72,7.84,73.6,72.45,0.85
ARCA10047,10,Semester 2,2020,59,61.33,8.44,65.0,63.38,0.98
ARCA10047,10,Semester 2,2021,63,64.2,9.6,64.52,63.93,0.98
ARCA10047,10,Semester 2,2022,62,63.61,8.97,64.81,63.53,1.0
ARCA10047,10,Semester 2,2023,58,62.12,9.62,63.48,64.49,0.99
ARCA10047,10,Semester 2,2024,59,60.86,9.2,65.0,64.29,0.95
ARCA10055,10,Semester 2,2020,99,77.72,7.96,76.31,77.96,0.66
ARCA10055,10,Semester 2,2021,97,76.44,8.85,76.75,78.54,0.67
ARCA10055,10,Semester 2,2022,95,79.4,9.2,75.87,77.98,0.65
ARCA10055,10,Semester 2,2023,102,76.64,7.9,77.06,77.14,0.68
ARCA10055,10,Semester 2,2024,98,78.7,8.0,77.43,78.37,0.73
ARCA10061,10,Semester 1,2020,137,84.58,4.6,84.28,83.49,0.67
ARCA10061,10,Semester 1,2021,126,82.45,4.25,84.81,84.54,0.64
ARCA10061,10,Semester 1,2022,136,84.17,4.74,83.74,83.96,0.7
ARCA10061,10,Semester 1,2023,137,82.59,5.5,83.85,84.54,0.72
ARCA10061,10,Semester 1,2024,138,81.43,5.54,84.0,83.35,0.73
ARCA10063,10,Semester 1,2020,69,76.97,6.87,77.87,75.38,0.92
ARCA10063,10,Semester 1,2021,65,75.27,6.87,77.33,75.56,0.88
ARCA10063,10,Semester 1,2022,67,77.52,6.16,77.46,73.99,0.88
ARCA10063,10,Semester 1,2023,67,74.68,6.07,77.66,75.48,0.94
ARCA10063,10,Semester 1,2024,70,75.4,6.68,76.12,74.54,0.86
ARCA10064,20,Semester 2,2020,97,67.75,4.63,70.61,72.24,0.64
ARCA10064,20,Semester 2,2021,98,67.92,5.99,69.49,70.6,0.62
ARCA10064,20,Semester 2,2022,93,68.25,5.91,68.93,71.82,0.57
ARCA10064,20,Semester 2,2023,98,68.27,5.46,70.01,71.16,0.62
ARCA10064,20,Semester 2,2024,98,68.54,4.64,69.06,72.17,0.64
ARCA10065,20,Semester 2,2020,109,73.36,8.98,75.34,74.41,0.61
ARCA10065,20,Semester 2,2021,111,76.18,9.95,75.17,73.44,0.57
ARCA10065,20,Semester 2,2022,109,72.75,10.08,76.42,73.91,0.64
ARCA10065,20,Semester 2,2023,105,72.57,10.11,76.05,73.83,0.56
ARCA10065,20,Semester 2,2024,105,75.62,9.92,75.57,73.54,0.59
ARCA10074,20,Semester 1,2020,70,82.08,7.59,86.46,81.94,0.94
ARCA10074,20,Semester 1,2021,73,84.81,6.08,86.43,81.34,0.9
ARCA10074,20,Semester 1,2022,70,85.04,6.14,86.19,83.28,0.97
ARCA10074,20,Semester 1,2023,71,83.43,7.37,84.88,81.78,0.97
ARCA10074,20,Semester 1,2024,68,83.0,5.74,86.04,81.73,0.93
ARCA10076,20,Semester 1,2020,88,77.72,6.82,78.62,77.13,0.92
ARCA10076,20,Semester 1,2021,86,77.03,7.67,77.7,76.04,0.93
ARCA10076,20,Semester 1,2022,91,76.36,7.64,78.56,76.58,0.91
ARCA10076,20,Semester 1,2023,85,76.7,5.92,77.61,76.35,0.95
ARCA10076,20,Semester 1,2024,91,76.54,7.29,78.36,77.55,0.94
ARCA10077,10,Semester 2,2020,55,77.95,8.63,77.95,74.3,0.64
ARCA10077,10,Semester 2,2021,53,76.24,7.1,77.88,74.98,0.7
ARCA10077,10,Semester 2,2022,56,75.19,7.45,77.15,74.42,0.65
ARCA10077,10,Semester 2,2023,54,75.65,8.88,77.57,73.89,0.63
ARCA10077,10,Semester 2,2024,54,76.04,7.75,77.03,75.13,0.68
ARCA10082,20,Full year,2020,154,75.38,7.09,76.84,75.21,0.78
ARCA10082,20,Full year,2021,154,77.4,6.71,75.19,77.08,0.83
ARCA10082,20,Full year,2022,145,74.0,8.17,75.7,75.79,0.81
ARCA10082,20,Full year,2023,151,74.78,6.61,75.79,75.67,0.84
ARCA10082,20,Full year,2024,142,75.48,6.64,75.66,75.69,0.77
ARCA10083,10,Semester 1,2020,99,84.96,7.09,82.21,81.71,0.67
ARCA10083,10,Semester 1,2021,104,82.53,6.12,81.81,83.13,0.69
ARCA10083,10,Semester 1,2022,101,83.72,6.47,81.13,81.99,0.68
ARCA10083,10,Semester 1,2023,102,83.52,6.26,81.7,83.25,0.66
ARCA10083,10,Semester 1,2024,101,82.56,6.65,81.86,83.1,0.67
ARCA10084,20,Semester 1,2020,121,69.83,5.4,71.87,71.43,0.92
ARCA10084,20,Semester 1,2021,115,71.41,5.17,71.94,72.56,0.97
ARCA10084,20,Semester 1,2022,124,72.97,6.57,70.85,72.63,0.97
ARCA10084,20,Semester 1,2023,115,73.66,5.77,70.56,71.21,0.95
ARCA10084,20,Semester 1,2024,119,71.33,5.43,71.26,72.51,0.91
ARCA10085,20,Full year,2020,94,62.24,4.79,63.88,62.35,0.67
ARCA10085,20,Full year,2021,99,60.77,5.14,62.25,61.22,0.71
ARCA10085,20,Full year,2022,100,60.41,6.41,62.9,62.07,0.73
ARCA10085,20,Full year,2023,96,61.96,5.78,63.15,62.07,0.68
ARCA10085,20,Full year,2024,94,63.24,5.17,62.22,60.8,0.68
ARCA10086,20,Semester 1,2020,75,68.73,7.09,71.53,71.36,0.87
ARCA10086,20,Semester 1,2021,75,68.08,8.01,70.45,72.27,0.81
ARCA10086,20,Semester 1,2022,78,71.4,8.59,71.82,70.66,0.87
ARCA10086,20,Semester 1,2023,80,69.91,7.82,71.08,71.81,0.84
ARCA10086,20,Semester 1,2024,77,68.96,8.15,70.81,72.19,0.83
ARCA10087,10,Full year,2020,56,78.41,8.19,77.17,76.66,0.91
ARCA10087,10,Full year,2021,54,76.72,9.12,76.24,76.94,0.88
ARCA10087,10,Full year,2022,56,76.83,7.81,77.13,75.54,0.86
ARCA10087,10,Full year,2023,56,78.99,8.24,75.58,75.45,0.88
ARCA10087,10,Full year,2024,58,79.6,8.13,75.6,76.86,0.89
ARCA10088,10,Semester 1,2020,68,77.89,8.86,75.74,77.25,0.97
ARCA10088,10,Semester 1,2021,69,74.15,10.16,75.47,78.72,0.97
ARCA10088,10,Semester 1,2022,74,74.23,8.98,74.68,77.77,0.92
ARCA10088,10,Semester 1,2023,72,76.51,9.09,74.89,77.15,0.95
ARCA10088,10,Semester 1,2024,68,76.21,9.08,75.22,77.5,0.91
ARCA10090,10,Full year,2020,63,64.03,8.77,64.53,65.46,0.76
ARCA10090,10,Full year,2021,64,64.18,8.81,63.95,65.04,0.73
ARCA10090,10,Full year,2022,61,64.28,9.55,63.72,65.42,0.75
